"name","essround","edition","cntry","proddate","idno","psu","samppoin","stratify","prob","trrtort","agea","gndr","hinctnta","eduyrs","rlgdnm","rlgblg","lrscale"
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1,1067012,NA,"7       ",0.00115360306,3,64,2,3,10,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",10,1046005,NA,"8       ",0.001424519319,3,73,1,8,22,5,1,3
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",100,1074211,NA,"11      ",0.000286643452,4,54,2,6,17,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1000,1076322,NA,"4       ",0.00019029791,5,63,2,6,17,5,1,4
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1001,1077011,NA,"8       ",0.000324318668,1,45,1,NA,22,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1002,1071031,NA,"8       ",0.000817779609,2,76,1,7,10,5,1,3
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1003,1060732,NA,"6       ",0.000774596847,3,62,1,NA,18,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1004,1060822,NA,"6       ",0.000646856315,3,48,2,5,18,5,1,4
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1005,1037001,NA,"1       ",0.000888915931,2,55,2,8,18,3,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1006,1077011,NA,"8       ",0.000648637337,1,42,2,NA,15,5,1,1
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1007,1077011,NA,"8       ",0.000648637337,NA,64,1,NA,13,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1008,1077011,NA,"8       ",0.000648637337,1,44,1,NA,16,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1009,1077011,NA,"8       ",0.001297274674,4,70,2,NA,14,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",101,1074122,NA,"11      ",0.000414878266,2,54,1,5,8,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1010,1077011,NA,"8       ",0.000432424459,1,59,1,10,19,5,1,3
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1011,1077011,NA,"8       ",0.000259454935,3,47,2,NA,12,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1012,1077011,NA,"8       ",0.000324318668,2,17,2,NA,11,0,2,1
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1013,1077011,NA,"8       ",0.000648637337,1,67,1,NA,NA,5,1,NA
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1014,1067015,NA,"7       ",0.001390835947,1,25,1,NA,12,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1015,1052114,NA,"9       ",0.000698857885,2,18,2,NA,11,5,1,NA
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1016,1074211,NA,"11      ",0.000573286905,2,70,1,8,12,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1017,1074122,NA,"11      ",0.000414878266,1,53,1,5,8,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1018,1074135,NA,"3       ",0.000337322817,1,46,2,6,12,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1019,1074211,NA,"11      ",0.000573286905,1,42,1,5,11,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",102,1074122,NA,"11      ",0.000622318021,2,38,1,NA,12,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1020,1052114,NA,"9       ",0.001164761977,1,27,2,NA,15,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1021,1052114,NA,"9       ",0.000388253992,2,24,2,NA,15,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1022,1067023,NA,"8       ",0.000680226818,1,37,1,7,12,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1023,1067023,NA,"8       ",0.000453484092,1,44,1,6,15,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1024,1067015,NA,"7       ",0.000231806455,1,60,1,2,4,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1025,1067015,NA,"7       ",0.000695417973,2,76,1,5,12,5,1,3
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1026,1052114,NA,"9       ",0.000698857885,1,20,2,NA,14,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1027,1052114,NA,"9       ",0.001164761977,5,22,1,NA,12,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1028,1052114,NA,"9       ",0.000873572356,2,50,2,NA,14,5,1,10
