"","cntry","idno","psu","stratify","prob","agea","gndr","mnrgtjb","wmcpwrk"
"1","FR",1001,132208,"2                             ",6.4139011e-05,63,1,5,2
"2","FR",1004,132208,"2                             ",0.000128278021,80,2,2,2
"3","FR",1007,132208,"2                             ",0.000128278021,75,2,4,3
"4","FR",1008,132208,"2                             ",6.4139011e-05,30,2,3,2
"5","FR",1012,133032,"2                             ",0.000135132266,86,2,5,5
"6","FR",1014,133032,"2                             ",6.7566133e-05,66,2,5,4
"7","FR",1016,133032,"2                             ",6.7566133e-05,43,1,4,4
"8","FR",1019,133032,"2                             ",4.504409e-05,70,2,4,2
"9","FR",1024,133032,"2                             ",4.504409e-05,52,1,4,1
"10","FR",1025,133032,"2                             ",6.7566133e-05,71,1,4,2
"11","FR",1028,133032,"2                             ",6.7566133e-05,71,1,3,3
"12","FR",1029,133032,"2                             ",6.7566133e-05,29,2,4,2
"13","FR",103,106044,"2                             ",0.000135205042,40,2,4,3
"14","FR",1031,133063,"1                             ",0.000199072078,58,1,2,3
"15","FR",1033,133063,"1                             ",0.000199072078,52,1,4,2
"16","FR",1034,133063,"1                             ",0.000132714722,19,1,5,2
"17","FR",1037,133063,"1                             ",0.000398144155,23,1,5,4
"18","FR",104,106044,"2                             ",4.5068349e-05,49,2,5,2
"19","FR",1040,133063,"1                             ",0.000398144155,67,2,5,2
"20","FR",1041,133063,"1                             ",0.000199072078,77,1,3,3
"21","FR",1042,133063,"1                             ",0.000132714722,47,1,5,5
"22","FR",1043,133063,"1                             ",0.000199072078,19,2,3,2
"23","FR",1044,133063,"1                             ",0.000199072078,58,1,5,4
"24","FR",1047,133063,"1                             ",0.000398144155,25,2,4,2
"25","FR",105,106044,"2                             ",6.7602521e-05,25,1,5,4
"26","FR",1051,133281,"2                             ",6.7565796e-05,29,1,4,3
"27","FR",1052,133281,"2                             ",0.000135131592,82,1,2,2
"28","FR",1054,133281,"2                             ",6.7565796e-05,56,1,5,2
"29","FR",1056,133281,"2                             ",6.7565796e-05,33,1,5,2
"30","FR",1059,133281,"2                             ",0.000135131592,22,2,4,4
"31","FR",1060,133281,"2                             ",6.7565796e-05,46,1,3,2
"32","FR",1061,133281,"2                             ",0.000135131592,52,1,3,3
"33","FR",1062,133281,"2                             ",3.3782898e-05,47,2,5,4
"34","FR",1063,133281,"2                             ",6.7565796e-05,35,2,3,2
"35","FR",1065,133281,"2                             ",0.000135131592,28,2,5,3
"36","FR",107,106044,"2                             ",4.5068349e-05,44,2,5,2
"37","FR",1073,134079,"2                             ",0.000135129444,65,2,2,4
"38","FR",1074,134079,"2                             ",0.000135129444,47,1,5,NA
"39","FR",1076,134079,"2                             ",6.7564722e-05,56,1,4,1
"40","FR",1077,134079,"2                             ",6.7564722e-05,55,2,5,5
"41","FR",1078,134079,"2                             ",6.7564722e-05,36,2,5,3
"42","FR",1081,134079,"2                             ",6.7564722e-05,46,1,3,1
"43","FR",1082,134079,"2                             ",6.7564722e-05,66,2,5,5
"44","FR",1083,134079,"2                             ",0.000135129444,61,2,3,2
"45","FR",1084,134079,"2                             ",0.000135129444,60,1,5,1
"46","FR",1086,134079,"2                             ",0.000135129444,53,1,4,4
"47","FR",1087,134079,"2                             ",6.7564722e-05,62,2,1,1
"48","FR",109,106044,"2                             ",6.7602521e-05,52,2,4,3
"49","FR",1092,134108,"2                             ",6.756468e-05,20,1,3,2
"50","FR",1094,134108,"2                             ",0.000135129361,24,1,2,1
"51","FR",1096,134108,"2                             ",4.5043122e-05,46,1,2,2
"52","FR",1099,134108,"2                             ",0.000135129361,78,2,2,2
"53","FR",1100,134108,"2                             ",6.756468e-05,64,2,5,2
"54","FR",1103,134108,"2                             ",0.000135129361,44,1,3,2
"55","FR",1104,134108,"2                             ",6.756468e-05,82,1,5,5
"56","FR",111,106044,"2                             ",0.000135205042,47,2,5,5
"57","FR",1111,134172,"2                             ",2.7025837e-05,48,1,1,1
"58","FR",1112,134172,"2                             ",0.000135129184,22,2,4,4
"59","FR",1113,134172,"2                             ",0.000135129184,58,1,3,3
